provider,provider_industry,damodaran_industry
fmp,Financial Conglomerates,Financial Svcs. (Non-bank & Insurance)
fmp,Financial Data & Stock Exchanges,Financial Svcs. (Non-bank & Insurance)
fmp,Food Distribution,Food Wholesalers
fmp,Footwear & Accessories,Shoe
fmp,Furnishings Fixtures & Appliances,Furn/Home Furnishings
fmp,Gambling,Hotel/Gaming
fmp,Gold,Precious Metals
fmp,Grocery Stores,Retail (Grocery and Food)
fmp,Health Information Services,Heathcare Information and Technology
fmp,Healthcare Plans,Healthcare Support Services
fmp,Home Improvement Retail,Retail (Building Supply)
fmp,Household & Personal Products,Household Products
fmp,Industrial Distribution,Retail (Distributors)
fmp,Information Technology Services,Computer Services
fmp,Insurance Brokers,Insurance (General)
fmp,Insurance—Diversified,Insurance (General)
fmp,Insurance—Life,Insurance (Life)
fmp,Insurance—Property & Casualty,Insurance (Prop/Cas.)
fmp,Insurance—Reinsurance,Reinsurance
fmp,Insurance—Specialty,Insurance (General)
fmp,Integrated Freight & Logistics,Transportation
fmp,Internet Content & Information,Software (Internet)
fmp,Internet Retail,Retail (Special Lines)
fmp,Leisure,Recreation
fmp,Lodging,Hotel/Gaming
fmp,Lumber & Wood Production,Paper/Forest Products
fmp,Luxury Goods,Retail (Special Lines)
fmp,Marine Shipping,Shipbuilding & Marine
fmp,Medical Care Facilities,Hospitals/Healthcare Facilities
fmp,Medical Devices,Healthcare Products
fmp,Medical Distribution,Healthcare Support Services
fmp,Medical Instruments & Supplies,Healthcare Products
fmp,Metal Fabrication,Metals & Mining
fmp,Mortgage Finance,Financial Svcs. (Non-bank & Insurance)
fmp,Oil & Gas Drilling,Oilfield Svcs/Equip.
fmp,Oil & Gas E&P,Oil/Gas (Production and Exploration)
fmp,Oil & Gas Equipment & Services,Oilfield Svcs/Equip.
fmp,Oil & Gas Integrated,Oil/Gas (Integrated)
fmp,Oil & Gas Midstream,Oil/Gas Distribution
fmp,Oil & Gas Refining & Marketing,Oil/Gas (Integrated)
fmp,Other Industrial Metals & Mining,Metals & Mining
fmp,Other Precious Metals & Mining,Precious Metals
fmp,Packaged Foods,Food Processing
fmp,Packaging & Containers,Packaging & Container
fmp,Paper & Paper Products,Paper/Forest Products
fmp,Personal Services,Business & Consumer Services
fmp,Pharmaceutical Retailers,Retail (Special Lines)
fmp,Pollution & Treatment Controls,Environmental & Waste Services
fmp,Publishing,Publishing & Newspapers
fmp,Railroads,Transportation (Railroads)
fmp,Real Estate—Development,Real Estate (Development)
fmp,Real Estate—Diversified,Real Estate (General/Diversified)
fmp,Real Estate Services,Real Estate (Operations & Services)
fmp,Recreational Vehicles,Recreation
fmp,REIT—Diversified,R.E.I.T.
fmp,REIT—Healthcare Facilities,R.E.I.T.
fmp,REIT—Hotel & Motel,R.E.I.T.
fmp,REIT—Industrial,R.E.I.T.
fmp,REIT—Mortgage,R.E.I.T.
fmp,REIT—Office,R.E.I.T.
fmp,REIT—Residential,R.E.I.T.
fmp,REIT—Retail,R.E.I.T.
fmp,REIT—Specialty,R.E.I.T.
fmp,Rental & Leasing Services,Business & Consumer Services
fmp,Residential Construction,Homebuilding
fmp,Resorts & Casinos,Hotel/Gaming
fmp,Restaurants,Restaurant/Dining
fmp,Scientific & Technical Instruments,Electronics (General)
fmp,Security & Protection Services,Business & Consumer Services
fmp,Semiconductor Equipment & Materials,Semiconductor Equip
fmp,Semiconductors,Semiconductor
fmp,Silver,Precious Metals
fmp,Software,Software (System & Application)
fmp,Software—Application,Software (System & Application)
fmp,Software—Infrastructure,Software (System & Application)
fmp,Solar,Green & Renewable Energy
fmp,Specialty Business Services,Business & Consumer Services
fmp,Specialty Chemicals,Chemical (Specialty)
fmp,Specialty Industrial Machinery,Machinery
fmp,Specialty Retail,Retail (Special Lines)
fmp,Staffing & Employment Services,Business & Consumer Services
fmp,Steel,Steel
fmp,Telecom Services,Telecom. Services
fmp,Textile Manufacturing,Apparel
fmp,Thermal Coal,Coal & Related Energy
fmp,Tobacco,Tobacco
fmp,Tools & Accessories,Machinery
fmp,Travel Services,Recreation
fmp,Trucking,Trucking
fmp,Uranium,Coal & Related Energy
fmp,Utilities—Diversified,Utility (General)
fmp,Utilities—Independent Power Producers,Power
fmp,Utilities—Regulated Electric,Power
fmp,Utilities—Regulated Gas,Utility (General)
fmp,Utilities—Regulated Water,Utility (Water)
fmp,Waste Management,Environmental & Waste Services
fmp,Wireless Telecommunication Services,Telecom (Wireless)
